'sample #','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
0,-489,-458,31,474,-260,-214,-88,-241,-112,212,393,390,-3,120,-18
1,-485,-467,18,476,-251,-225,-84,-235,-102,219,404,396,-3,122,-20
2,-483,-469,14,476,-248,-228,-88,-236,-107,219,401,393,-7,111,-17
3,-482,-458,24,470,-252,-218,-90,-235,-103,223,402,394,-4,107,-16
4,-463,-454,9,459,-236,-223,-91,-234,-99,223,400,397,1,109,-17
5,-452,-465,-14,459,-219,-240,-101,-242,-106,215,392,388,0,112,-17
6,-450,-473,-23,462,-213,-249,-105,-243,-109,213,388,386,2,115,-16
7,-469,-467,1,468,-234,-234,-98,-235,-101,223,398,397,3,104,-16
8,-469,-466,3,467,-236,-232,-103,-236,-100,222,401,394,1,95,-14
9,-447,-471,-24,459,-211,-248,-110,-241,-108,217,396,387,0,98,-13
10,-441,-461,-21,451,-209,-242,-109,-246,-108,218,398,390,2,107,-14
11,-454,-456,-2,455,-225,-230,-113,-244,-107,217,396,392,5,125,-11
12,-464,-452,13,458,-238,-220,-106,-239,-105,218,396,395,6,122,-10
13,-475,-460,16,468,-245,-223,-102,-241,-103,222,398,398,2,100,-11
14,-489,-465,24,477,-256,-221,-98,-238,-104,225,397,403,2,106,-11
15,-474,-442,32,458,-252,-206,-101,-238,-109,219,395,403,6,118,-11
16,-448,-427,21,437,-234,-204,-112,-245,-114,212,391,394,3,116,-11
17,-453,-426,26,440,-239,-201,-107,-243,-111,213,396,395,1,119,-9
18,-453,-418,35,436,-244,-192,-104,-239,-108,217,402,398,7,132,-5
19,-455,-416,39,436,-246,-189,-105,-239,-110,218,403,394,8,134,-6
20,-465,-423,42,444,-253,-191,-104,-241,-110,216,405,393,4,113,-6
21,-452,-428,25,440,-238,-202,-104,-238,-109,218,404,394,-1,114,-7
22,-451,-433,18,442,-234,-208,-102,-239,-108,217,402,394,-4,119,-6
23,-422,-407,16,414,-218,-196,-100,-239,-104,216,401,397,-2,125,-3
24,-427,-420,8,423,-217,-206,-102,-240,-109,214,397,393,1,123,-3
25,-447,-451,-4,449,-221,-228,-106,-242,-114,209,395,386,0,104,-8
26,-440,-446,-6,443,-217,-226,-104,-239,-115,206,395,387,0,105,-8
27,-432,-440,-8,436,-211,-224,-103,-237,-112,209,396,389,3,104,-8
28,-400,-414,-15,407,-192,-215,-92,-225,-99,221,408,400,5,99,-10
29,-393,-405,-11,399,-190,-209,-87,-221,-93,228,412,407,7,101,-9
30,-393,-403,-10,398,-191,-207,-89,-216,-93,226,410,407,9,95,-11
31,-418,-398,20,408,-219,-189,-82,-211,-89,229,412,410,4,94,-12
32,-477,-444,32,461,-254,-207,-98,-226,-101,217,398,397,2,101,-10
33,-504,-474,30,489,-267,-222,-101,-228,-105,210,393,393,2,88,-7
34,-477,-457,20,467,-248,-219,-91,-223,-96,217,400,398,1,89,-5
35,-453,-437,15,445,-233,-211,-88,-214,-92,219,404,402,3,102,-4
36,-469,-426,43,448,-256,-192,-80,-206,-87,222,408,405,2,104,-4
37,-509,-465,44,487,-276,-211,-90,-219,-97,214,398,391,3,88,-5
38,-495,-463,33,479,-263,-216,-92,-221,-97,210,395,385,3,84,-7
39,-462,-430,32,446,-247,-200,-91,-215,-89,215,402,386,3,104,-7
40,-460,-429,31,444,-245,-199,-93,-215,-89,216,400,384,2,96,-2
41,-440,-433,7,436,-223,-214,-98,-219,-93,211,387,383,-2,99,-2
42,-429,-419,10,424,-219,-205,-84,-208,-83,226,399,389,-6,112,-3
43,-429,-414,15,422,-222,-200,-79,-205,-77,223,397,389,0,104,2
44,-455,-449,6,452,-230,-222,-90,-215,-88,211,384,381,2,92,2
45,-449,-452,-3,451,-223,-228,-89,-217,-93,206,373,375,-5,95,2
46,-427,-453,-26,440,-200,-240,-98,-226,-99,196,361,366,-6,102,6
47,-401,-438,-37,420,-182,-238,-88,-213,-86,210,374,372,-4,89,3
48,-413,-439,-26,426,-193,-233,-77,-208,-77,219,380,374,-9,88,0
49,-456,-477,-21,466,-217,-250,-91,-223,-88,208,370,361,-12,91,6
50,-438,-476,-38,457,-199,-258,-94,-217,-92,197,356,357,-2,90,6
51,-431,-457,-26,444,-202,-242,-86,-212,-83,202,361,365,-2,95,11
52,-431,-451,-20,441,-205,-236,-83,-210,-81,204,363,367,-5,89,9
53,-443,-456,-13,450,-215,-235,-73,-204,-78,209,362,364,-8,72,5
54,-463,-466,-3,464,-230,-235,-77,-207,-74,209,368,358,-14,58,8
55,-456,-457,-1,456,-227,-229,-80,-207,-76,208,370,354,-13,74,9
