'sample #','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
0,-3203,-5802,-2599,4503,-302,-4200,-437,908,646,-309,-666,-1823,-807,-1850,7
1,-3187,-5801,-2614,4494,-286,-4207,-429,915,653,-303,-660,-1816,-805,-1851,5
2,-3181,-5800,-2619,4491,-280,-4209,-425,917,654,-302,-661,-1810,-808,-1854,5
3,-3190,-5808,-2618,4499,-286,-4212,-423,918,653,-302,-662,-1812,-810,-1853,5
4,-3196,-5809,-2613,4503,-291,-4211,-426,919,651,-297,-662,-1813,-807,-1859,3
5,-3184,-5804,-2620,4494,-281,-4212,-428,917,654,-295,-659,-1804,-799,-1856,5
6,-3176,-5800,-2624,4488,-275,-4212,-418,925,658,-291,-654,-1802,-804,-1849,1
7,-3176,-5797,-2621,4486,-277,-4209,-415,934,667,-286,-649,-1800,-808,-1857,-1
8,-3183,-5801,-2618,4492,-282,-4209,-414,931,664,-289,-653,-1802,-810,-1868,0
9,-3184,-5802,-2619,4493,-282,-4210,-414,927,657,-294,-661,-1811,-815,-1872,-1
10,-3174,-5799,-2625,4487,-274,-4212,-413,929,659,-294,-663,-1810,-814,-1870,4
11,-3178,-5798,-2620,4488,-278,-4209,-409,931,661,-291,-663,-1812,-819,-1871,-1
12,-3180,-5796,-2616,4488,-282,-4205,-408,930,660,-290,-665,-1813,-818,-1870,-2
13,-3178,-5798,-2620,4488,-279,-4208,-413,927,656,-290,-665,-1814,-814,-1869,3
14,-3176,-5799,-2623,4488,-276,-4210,-423,924,655,-294,-667,-1816,-815,-1873,2
15,-3170,-5798,-2628,4484,-271,-4212,-416,927,658,-291,-667,-1816,-816,-1877,3
16,-3164,-5794,-2630,4480,-267,-4212,-410,927,655,-292,-669,-1820,-822,-1875,2
17,-3168,-5793,-2626,4480,-270,-4209,-412,925,655,-296,-671,-1822,-826,-1870,1
18,-3167,-5797,-2630,4482,-268,-4213,-415,921,653,-297,-673,-1823,-825,-1867,1
19,-3170,-5803,-2632,4487,-268,-4217,-421,921,654,-298,-673,-1823,-825,-1864,-1
20,-3175,-5803,-2628,4489,-273,-4215,-419,927,661,-293,-670,-1823,-826,-1866,-4
21,-3167,-5795,-2629,4481,-269,-4212,-420,925,656,-293,-677,-1826,-825,-1869,-1
22,-3159,-5791,-2631,4475,-263,-4210,-421,923,654,-298,-677,-1826,-825,-1867,-1
23,-3154,-5792,-2638,4473,-258,-4214,-422,922,656,-296,-676,-1826,-824,-1869,-4
24,-3153,-5795,-2642,4474,-255,-4218,-420,925,654,-292,-675,-1822,-823,-1882,-3
25,-3155,-5791,-2635,4473,-260,-4212,-416,928,655,-290,-671,-1819,-821,-1880,-1
26,-3165,-5796,-2631,4481,-267,-4213,-411,930,657,-288,-673,-1818,-820,-1877,-1
27,-3169,-5805,-2637,4487,-265,-4221,-409,932,659,-289,-671,-1816,-818,-1876,-3
28,-3161,-5803,-2642,4482,-259,-4221,-413,934,662,-283,-669,-1816,-817,-1877,-3
29,-3159,-5803,-2644,4481,-257,-4222,-413,935,662,-279,-664,-1808,-813,-1886,-2
30,-3166,-5809,-2643,4487,-261,-4225,-414,930,659,-283,-662,-1806,-809,-1888,-3
31,-3169,-5812,-2644,4490,-262,-4227,-418,928,657,-286,-664,-1806,-809,-1892,-6
32,-3157,-5807,-2650,4482,-253,-4228,-417,933,661,-282,-662,-1801,-804,-1886,-6
33,-3152,-5807,-2654,4480,-248,-4230,-410,938,664,-281,-665,-1801,-804,-1888,-5
34,-3153,-5807,-2654,4481,-249,-4230,-411,937,661,-284,-670,-1803,-811,-1899,-4
35,-3158,-5809,-2651,4483,-253,-4229,-413,934,662,-284,-670,-1805,-812,-1899,-10
36,-3157,-5810,-2653,4484,-251,-4231,-408,939,664,-284,-666,-1802,-812,-1903,-15
37,-3152,-5807,-2656,4480,-247,-4231,-408,940,666,-284,-664,-1799,-814,-1899,-13
38,-3157,-5811,-2654,4484,-251,-4232,-412,940,664,-282,-658,-1798,-813,-1885,-13
